"系統序號","課程名稱","課程大綱","A分數","A判定理由","B分數","B判定理由","C分數","C判定理由","D分數","D判定理由","整體判定","主要依據","證據不足處"
"8194010","國文","授課對象為中文系大一學生,故本課程的設計以學生中學所學為基礎,讓學生先再次思索讀書的本質、如何成就人生的智慧等問題,進而引領學生進入較他們中學所認識的唐宋及明清古文、古文家,更為深、廣的領域。尤其是在AI浪潮下,讓AI為我們中文人所用,而非成為AI的奴隸。      一方面選介唐宋、明清古文大家的作品,另一方面加強學生的甄別能力,特別是數位時代流通之文本良莠不齊,文本鑑識力亟需培養,故安排有「古典散文文獻簡介」一單元,主要介紹「傳統集部文獻」、「類書、叢書文獻」、「電子文獻」等三種類型的文獻。同時也引介中、西方文論,建構傳統與現代對話的模式,增進學生對古文鑑賞及語文表達之能力。      Bertrand Russell曾說:「人類自古以來有三個敵人,其一是自然(nature)」,其二是他人(other people),其三是自我(ego)。」故在進行語文教學的同時,也將緊扣「自我叩問」、「人與人(他人、家庭、社會、國家)」、「人與自然(環境)」等來進行探究。","1","課程提到「在AI浪潮下，讓AI為我們中文人所用」，但未明確要求學生使用AI進行學習、資訊整理、提問或自主學習，因此只能判定具有零星關聯。","1","課程提到數位時代文本良莠不齊及文本鑑識力培養，但未明確連結AI倫理、著作權、個資、偏誤、風險或責任規範，因此不能推定具備負責任使用AI的完整能力。","1","課程提出讓AI為中文人所用，但未明確安排學生運用AI分析、生成或解決古文與文獻問題的任務，也未說明驗證、修正或品質評估方式。","1","「讓AI為我們所用，而非成為AI的奴隸」涉及人類主體性，但未明確要求學生在AI協作中提出判斷、進行批判驗證或結合真實情境創作。","A=1;B=1;C=1;D=1","主要依據為課程大綱明確提及AI浪潮、AI使用及數位文本甄別。","大綱未明確說明AI工具、學生實作任務、使用規範、結果查證、人機分工、反思或評量方式，因此四項能力均缺乏充分證據。"
"8194302","班級經營","《班級經營》這堂課主要是透過理論講述、合作學習、小組討論、教學現場觀察、實際訪談班級經營技巧、班級個案處理分析、分享報告、AI蒐集資料、討論對話班級經營技巧和撰寫班級經營計畫書等方式,讓同學了解如何建立有效的班級經營。並藉由理性批判和感性思維,了解教學現場的班級經營策略,培育其未來職場的連結與應用。","2","課程明確列出「AI蒐集資料」及以AI進行班級經營技巧的「討論對話」，具備初步使用AI蒐集與整理學習資料的活動，但未說明提示策略、學習反思或自主學習規劃。","0","雖有AI蒐集資料與討論對話，但大綱未提及AI倫理、著作權、個資、隱私、偏誤、查證、風險或責任，因此不能推定具備負責任使用AI的能力。","2","課程要求以AI蒐集資料、討論班級經營技巧，並撰寫班級經營計畫書，具有初步將AI納入專業任務的證據；但未明確要求驗證AI資料、修正結果、規劃人機分工或進行品質評估。","0","課程雖包含合作學習、現場觀察、訪談及理性批判與感性思維，但未將這些內容明確置於AI協作情境，因此不能計入AI無法取代的能力。","A=2;B=0;C=2;D=0","主要依據為明確列出的「AI蒐集資料」、AI討論對話及班級經營計畫書撰寫。","大綱未提及AI使用責任、資料查證、個資與風險管理，也未明確說明AI與人類在班級經營分析及決策中的分工。"
"8194317","課程與未來學","課程探討課程設計的基本概念,並引介未來學視角,思考教育與課程如何因應未來教育趨勢與變遷。課程將帶領學生應用未來學的核心工具(如STEEP分析、未來三角、Futures Cone),分析AI趨勢對教育的影響,並設計具未來導向的課程方案。    聽聽5分鐘Podcast了解課程: https://notebooklm.google.com/notebook/2b00b0e7-1a9d-4ecd-b0e0-fffff0f57c90/audio (需登入Google account)    大一至大四都可選修","0","課程要求以未來學工具分析AI趨勢，但未明確要求學生使用AI作為學習、資訊整理、理解或自主學習工具，因此不能推定具備運用AI學習的能力。","0","大綱僅提及分析AI趨勢對教育的影響，未提及AI倫理、法規、隱私、偏誤、資安、風險、治理或責任，因此不能計分。","1","課程以STEEP分析、未來三角及Futures Cone分析AI趨勢對教育的影響，並設計未來導向課程方案；但大綱未明確要求使用AI工具解決問題，AI主要是分析對象而非解決工具。","0","課程包含未來導向課程設計，但未明確置於AI人機協作情境，也未要求學生檢核AI、保有人類判斷、展現同理心或結合真實場域洞察。","A=0;B=0;C=1;D=0","主要依據為課程明確分析AI趨勢對教育的影響，並以未來學工具設計課程方案。","大綱未明確說明學生實際使用AI工具、進行AI結果驗證、處理AI倫理風險，或進行人機分工與協作。"
"8195446","戲劇選讀","課程簡介 Course Description        The general theme for this semester of the SELECTED READINGS IN DRAMA course will be Drama and The Other in various manifestations from culture to gender and orientation. Of particular interest will be The Mind and Emotional Fantasy.        Specific texts to be discussed will be decided later, dependent upon the research and reading interests of the students. The approach to the material will be predominately be topical rather than chronological. This is a participatory course consisting of innovative active interaction, not merely lecture. Come prepared to participate.        Note, this is a media based course. There will be literary readings as well as television and film materials related to the topic. Students who miss media presentations will have to make up the viewing material on their own time &ndash; the instructor is not responsible for providing copies of media missed from absences.      Students are encouraged to setup an AI English Study Buddy program. You are strongly encouraged to practice your English skills with the AI Buddy outside of class. While you may use AI to assist you, you must always cite sources and be certain to do major work on your own. AI can make an excellent assistant but the work should still be your own.    Students should prepare an online drive (Google Drive is suggested) to upload to in order submit periodically class video assignments and other homework on it.    Obviously, whether we meet in person or online due to pandemic response or other factors will affect some of our course content. Also, obviously, for in-person classes, students may be asked to scan a QR code (in addition to answering roll call as they are different purposes) and wear a mask while observing social distancing. Unless specifically required for pandemic reasons, masks are optional (show common sense and think of others). Be sure to join the class Discord, just in case.    This course is taught in English in an English environment only. Please note students from outside the English Department who have not taken the prerequisite courses must be able to understand English to an appropriate level for this course.","3","課程明確鼓勵學生設置「AI English Study Buddy」並在課外使用AI練習英語，也允許AI協助學習；具備明確的AI學習活動，但未提及學習歷程規劃、提示策略或自主調整方法。","3","課程要求使用AI時引用來源，並強調主要工作須由學生自行完成，且指出AI是助手而非取代學生，涉及AI使用揭露、學術責任與人類主體性；但未涵蓋個資、偏誤、資安或更完整的法律風險。","1","大綱僅提到AI可協助英語學習及作業，未明確安排使用AI完成戲劇分析、作品製作或其他具體問題解決任務，也未要求驗證與修正AI結果。","2","課程明確要求AI作為英語學習助手，同時強調主要工作應由學生自行完成，支持人類主體性；但未明確要求批判AI結果、提出判斷理由、進行人際協作或結合真實場域創作。","A=3;B=3;C=1;D=2","主要依據為AI English Study Buddy、課外英語練習、AI協助、引用來源及主要工作由學生自行完成等明確要求。","大綱未明確規範AI生成內容的查證、偏誤與隱私風險，也未設計以AI完成專業問題解決、結果驗證或人機分工的完整任務。"
"8196457","國際組織","International organisations (IOs) have been created over the past century to advance cooperation among states to find common solutions to international and transnational challenges. IOs are tools of international politics and international relations, while serving as indispensable fora for establishing and implementing international norms and principles. Some of the key international challenges tackled by IOs include armed conflicts, humanitarian crises, infectious diseases, climate change, international trade and global inequality. IOs vary greatly in terms of their mission, functions, membership, structure, powers and geographical scope. The role of IOs in international politics remains controversial: while some perceive them as enablers to achieving global solutions beyond the capacity of individual states, others question their effectiveness and legitimacy given their tendency to be controlled by the most powerful states. States and citizens alike are sometimes disappointed by the gap between IOs&rsquo; lofty aspirations and their actual performance in addressing global problems.         The course will start by introducing the central analytical approaches that help students understand key characteristics of international organisations: their creation and design, their power and mandates, their decision-making processes, their impact and policy effectiveness, and their interaction with states and other IOs. This analytical framework is then applied to analyse the functions and performance of IOs concerning specific global challenges and policy domains, including peace, security, human rights, trade, crisis response, health and environment. Finally, the course will examine the responsibility and accountability of IOs, and examine the geopolitical realities that limit Taiwan&rsquo;s participation in these international fora.        The course will be taught by Associate Professor Kevin Chang (JD, LLM, MA, GradDipIntLaw, GradDipLegPrac, BSc), who is a senior advisor on international law and who brings more than 20 years&rsquo; experience as a lawyer, advocate and practitioner with the United Nations, the International Committee of the Red Cross, the Australian Government and other international organisations. Professor Chang is a Lawyer of the Supreme Court of the Australian Capital Territory. He also teaches at the University of Sydney and the Graduate Institute of International and Development Studies in Geneva.        This course will be taught via a hybrid mode of teaching of 50% being in-person, the other 50% online. Students are expected to read the prescribed reading material in advance, submit reflection notes, and participate in class discussions. This course is designed with an assumption that students will already have a solid appreciation of international politics. This course is suitable only for students who have an advanced level of English proficiency. Because of the class size limit of 25 students, prospective students may be required to submit a statement of motivation prior to their enrolment being confirmed.","0","課程名稱與大綱未提及任何AI工具、AI運作原理、AI模型、AI應用、AI倫理、AI科技衝擊或人機協作，因此依0分原則判定為0分。","0","課程名稱與大綱未出現AI倫理、AI法規、AI資安、AI風險或人機責任等元素，因此依0分原則判定為0分。","0","課程雖探討國際組織、全球挑戰、政策效能及責任問責，但未出現AI元素，不能將一般問題分析或政策討論視為AI問題解決能力。","0","課程包含國際政治、人權、危機及全球不平等等議題，但未置於AI或人機協作情境，因此依0分原則判定為0分。","A=0;B=0;C=0;D=0","課程名稱與課程大綱完全未提及任何AI元素。","課名與大綱均未出現AI工具、AI應用、AI倫理、AI科技衝擊或人機協作；一般國際組織、法律、責任與政策內容不得自行推定為AI能力。"
"8400431","教學原理","(一)教學原理的觀念分析    (二)教學原理的基本概念:1.教學的意義與規準的探討、2.影響教學的因素、3.學習條件的概述    (三)學習理論與教學實務分析:1.行為學派學習理論與教學、2.認知學派學習理論與教學、3.人本主義學習理論與教學    (四)教學設計的理論與實務分析:1.教學設計的理論、2.教學設計的意涵、功能與內容    3.教學設計的模式/系統教學設計模式、4.教學設計的取向與應用和5.小組討論教學設計的教案撰寫內容    (五)skinner教學原理與設計:1.行為主義的制約實驗、2.制約學習在教學技術的應用、3.制約學習在教學方法的應用    (六)教學策略技巧與運用:1.教學策略的理論基礎、2.班級教學策略分析、3.小組教學策略分析、    4.個別化教學策略分析、5.教學技巧的變化與應用和6.專注力教學技巧分析與小組討論    (七)bruner的教學原理與設計:1.bruner的認知教學理論、2.發現教學的設計方法與教學步驟和    3.小組共同討論進行發現教學法的實例設計    (八)各小組報告實際到校訪問教師教學方案的教學原理的教學原理、教學技巧、有效教學方法和如果我來教要如何教得更好    (九)思考啟發教學方法:1.分析五段式教學法、2.探究問思教學法、3.探討價值澄清法/兩難困境法和4.小組共同討論問題解決教學策略    (十)創造思考教學方法與設計:1.創造思考的內涵、2.創造思考教學的設計方法與教學步驟、    3.創造思考教學的策略和4.創造思考教學活動單元舉隅    (十一)1.有效學習策略分析、2.小組探討比較期初和期末有效學習策略的差異    (十二)雙語教學、AI科技教學和食農教育等三個專題,在教學上的應用與實務分享    (十三)期末評量    (1)個人繳交一頁A4學習心得與感想/自評分數    (2)各組海報報告與分享,並繳交一份教學方案的實際案例    /合作學習/協同教學/批判思考教學/討論教學方法與設計/學思達教學/學習共同體/差異化教學/創客教學/雙語教學方案</","0","大綱僅在專題中列出「AI科技教學」的教學應用與實務分享，未明確要求學生使用AI作為學習工具，因此不能推定具備運用AI學習的能力。","0","「AI科技教學」未伴隨AI倫理、著作權、個資、偏誤、資安、查證、風險或責任內容，因此不能計入負責任使用AI的能力。","1","課程列出「AI科技教學」在教學上的應用與實務分享，但未明確要求學生運用AI完成教學設計、分析或專業問題解決，也未提及驗證或品質控制。","0","課程包含教案設計、創造思考、訪談與教學策略等內容，但未將其明確置於AI或人機協作情境，因此不能計入AI無法取代的能力。","A=0;B=0;C=1;D=0","主要依據為課程大綱將「AI科技教學」列為教學應用與實務分享的專題。","AI僅以單一專題名稱出現，未明確說明學生使用AI的活動、成果要求、責任規範、結果查證、人機分工或AI協作中的人類判斷。]"
"8400446","資訊融入教與學","本課程聚焦於教育科技、學習理論與教學實務。學生將透過理論探討、實務應用及反思練習,設計科技輔助教學活動。課程首先概述教育科技及其情境脈絡,接著深入探討指導式與社會建構論之教學模式,以連結理論與實務。此外,學生將認識並評估生成式 AI 在優化教學、培養高階思維能力及提升學習者投入度所扮演的角色。最後,本課程亦將探討科技學科領域的應用。    大一~大四均可選。    第一堂將宣布重要期中期末報告規定、上課進度是否調整,請務必出席。未出席不給予加簽。","2","課程明確要求學生設計科技輔助教學活動，並認識與評估生成式AI在優化教學、培養高階思維及提升學習投入度中的角色，具備初步AI學習與應用脈絡；但未明確要求學生使用AI進行資訊整理、理解、提示設計或自主學習。","1","課程提及評估生成式AI的角色，僅可支持初步的AI影響與功能判斷；大綱未提及AI倫理、法規、個資、著作權、偏誤、資安、查證或責任。","2","學生需設計科技輔助教學活動，且課程探討生成式AI優化教學的角色，具備初步應用與教學設計證據；但未明確要求以AI完成具體問題解決任務，亦未提及結果驗證、人機分工或品質控制。","1","課程提到生成式AI可培養高階思維，但未明確置於人機協作、AI結果批判、人類主體性、同理溝通或真實場域創作的學習要求中。","A=2;B=1;C=2;D=1","主要依據為課程明確探討生成式AI在教學優化與學習投入上的角色，並要求設計科技輔助教學活動。","大綱未明確說明學生實際如何使用AI學習、如何負責任使用AI、如何驗證AI成果，以及如何在人機協作中展現人類不可取代的能力。"
"8400449","知識管理系統與技術","This course begins with an introduction to the fundamental concepts of knowledge management (KM) processes, with a particular focus on the development of knowledge graphs (KGs). It includes a structured lecture on the Resource Description Framework (RDF), the Neo4j optimization tool, and GenAI use with RAG, accompanied by a series of Python practice exercises. Several publicly available KGs are then introduced, and students are expected to access and explore them during in-class practice sessions. By the end of the course, students are also required to investigate a knowledge domain of their choice and demonstrate their KG development skills by applying open data (if preferred) and articulating the underlying KM rationales within that domain.","1","課程包含GenAI與RAG的教學及相關實作，但內容主要是學習知識管理系統與技術，未明確要求學生運用AI協助自身學習、整理資訊、獲得回饋或規劃學習歷程。","0","大綱未提及AI倫理、法規、著作權、個資、資安、偏誤、查證、治理或責任。","4","課程明確涵蓋GenAI與RAG，並要求學生透過Python練習、探索公開知識圖譜，進一步選定知識領域、運用開放資料完成知識圖譜開發並說明知識管理 rationale，具備明確技術實作與專業任務；但未明確要求驗證AI輸出、修正偏誤、規劃人機分工或進行品質與風險評估。","0","雖然課程涉及GenAI技術實作，但大綱未將人類判斷、同理溝通、真實場域洞察或創意主體性明確置於AI協作情境。","A=1;B=0;C=4;D=0","主要符合C，因課程要求學生實作RAG、探索知識圖譜，並完成特定領域的知識圖譜開發。","A缺乏AI作為學習工具的明確要求；B未提及負責任AI；D未提及人機協作中的人類主體性、判斷或創意；C亦缺乏明確驗證與風險控制。"
"8401613","人工智慧與阿拉伯語翻譯修正","本課程適合大三以上,阿拉伯文文法基礎紮實的學生選修。講授主題借鑑英漢翻譯教材的內容。透過課堂討論,將線上翻譯軟體生成的語句修正為符合台灣表達習慣的中文語句;並透過課後阿翻中、中翻阿的作業鞏固課堂所學的翻譯技巧。","1","課名明確包含人工智慧，課程要求處理線上翻譯軟體生成的語句並進行修正，但大綱未明確說明AI作為學習、資訊整理或自主學習工具的使用方式。","0","大綱未提及AI倫理、翻譯資料隱私、著作權、偏誤、查證規範或責任。","3","課程明確要求學生將線上翻譯軟體生成的語句修正為符合臺灣表達習慣的中文，並透過阿翻中、中翻阿作業練習翻譯技巧，具有AI或翻譯工具輔助下的具體修正任務；但未明確要求系統性驗證、比較方案、風險評估或人機分工。","2","學生需將翻譯軟體生成內容修正為符合臺灣表達習慣的中文，呈現人類語言判斷在工具使用中的作用；但大綱未明確要求批判AI、說明修正理由、處理文化差異或展現同理與溝通能力。","A=1;B=0;C=3;D=2","主要依據為課名的人工智慧元素，以及課程要求修正線上翻譯軟體生成的語句。","大綱未明確說明線上翻譯軟體是否為AI工具、未提供AI倫理與責任要求，也未明確設計AI結果驗證、反思或人機協作評量。"
"8401952","國際智慧財產權法專題研究(四)","This seminar offers students the opportunity to undertake guided independent research on selected topics in international and comparative intellectual property law, broadly construed. Through close reading, discussion, and individual research projects, students will engage in in-depth analysis of some of the most pressing legal issues arising from contemporary innovation, creative activity, and technological development in a global context.        The primary objective of the seminar is to provide students with a foundational understanding of key intellectual property issues within the international legal regime, including&mdash;though not limited to&mdash;patent, copyright, trademark, and trade secret law. Emphasis will be placed on comparative perspectives and the interaction between domestic IP systems and international norms. Students are expected to complete all assigned readings in advance of each class and to participate actively in seminar discussions. Regular attendance and informed class participation are mandatory.        In addition to developing substantive knowledge, students will design and complete an original research project. To familiarize students with current developments in intellectual property law, each student is required to deliver a 3&ndash;5 minute short presentation on recent IP-related news. Students may select topics of interest from sources such as the IPWatchdog blog (https://ipwatchdog.com/), The IPKat blog (https://ipkitten.blogspot.com/), or other reputable online sources.        Each student must also select a presentation and paper topic and will meet individually with the instructor to discuss topic selection, research strategy, and paper development. Students are required to submit a two-page research proposal and presentation slides outlining their project.        Students are also required to present their research to the seminar and to serve as panelists for the presentations of other students, offering constructive comments and engaging in scholarly discussion. Course grades will be based primarily on the quality of the research proposal, presentations and class participation. (This seminar is not graded anonymously because the professor works with students on their writing projects throughout the semester.)        As part of the seminar, students will also participate in a field trip to the Microsoft Office, where they will be hosted by Microsoft&rsquo;s in-house legal counsel. During this visit, students will learn how a leading technology company prepares for AI development, manages intellectual property strategy, and responds to AI-related legal disputes in practice. The visit will be scheduled in the afternoon from 2:00 p.m. to 4:00 p.m.; further details will be announced in class.","0","課程未要求學生運用AI作為學習工具；大綱提及AI發展與AI相關法律爭議，但不構成運用AI學習的明確教學活動。","2","課程明確涵蓋國際智慧財產權法，並安排參訪Microsoft了解其AI開發準備、智慧財產權策略與AI相關法律爭議，具備AI與法律責任議題的初步接觸；但未明確處理AI倫理、個資、偏誤、資安、治理或具體負責任使用規範。","0","大綱未要求學生使用AI分析、生成、建模或解決專業問題；研究專題與法律研究活動未明確置於AI工具應用情境。","1","課程安排學生了解科技公司如何準備AI開發、管理智慧財產權策略及回應AI法律爭議，涉及AI對專業與社會的影響；但未明確要求人類主體性、AI結果判斷、同理溝通或人機協作。","A=0;B=2;C=0;D=1","主要依據為大綱明確提及AI開發、智慧財產權策略及AI相關法律爭議，並安排相關企業參訪。","A與C未出現學生使用AI學習或解決問題的要求；B缺乏完整AI倫理、風險、治理與責任分析；D缺乏明確的人機協作與人類能力培養證據。"
